,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
48,0.749,0.899,-4.73,0.0926,0.179,1.58e-06,0.0929,0.868,163.935,3HevcnYdnqtS0MvtyWkOg5,169146
49,0.755,0.55,-6.102,0.107,0.618,2.66e-06,0.0868,0.926,114.501,01OAhZvrPcUBko04aEy1Hh,159976
50,0.731,0.491,-3.116,0.029,0.609,0.0,0.262,0.781,132.891,0uBcoM4zxRXk7kmsmxoiFS,170053
51,0.551,0.436,-8.029,0.0428,0.395,0.0,0.0719,0.862,188.651,74WROFXsox6wkeUrEK2DS6,170745
52,0.778,0.445,-5.178,0.0416,0.675,2.05e-06,0.283,0.969,116.973,6wTqVQ6RRkqAyT5XDGcRq4,154869
53,0.557,0.66,-4.467,0.0768,0.118,0.0,0.085,0.907,128.179,6Yard5LK4aXEn0kBKtHSob,202022
54,0.479,0.574,-6.894,0.0712,0.407,0.0,0.299,0.97,163.295,6bKPmj3k2zoTzoEOiFnmM0,173500
55,0.673,0.592,-6.819,0.0319,0.146,0.0288,0.0942,0.778,117.354,6Gv2GDFZzmhK6b82lUwjhG,184680
56,0.715,0.739,-3.779,0.041,0.578,0.0,0.0887,0.963,101.611,1hHnCReCPe1FUkGLTeuCaC,140984
57,0.409,0.713,-6.713,0.03,0.434,0.000719,0.206,0.725,97.029,15UfWisTMmHsMjkUUEAoAa,214398
58,0.436,0.4,-6.521,0.11,0.463,0.0,0.76,0.568,75.576,6HIIuuUIEzH1meVdGbMXyf,189050
59,0.555,0.832,-3.691,0.0412,0.28,0.0,0.0894,0.43,170.124,3qAJAUr7yc9bPDx4ESt6ND,209903
60,0.595,0.492,-6.169,0.137,0.671,0.0,0.101,0.945,114.015,3MNizqH3Vgli5czbnBDCie,142014
61,0.593,0.364,-7.242,0.175,0.515,0.0,0.348,0.652,83.133,0lyZyn18awzOJuVM7qzCmd,230000
62,0.684,0.882,-7.963,0.0761,0.517,9.81e-05,0.296,0.892,140.545,1Tcm4Qi0lbzXofH11MIzJs,188417
63,0.62,0.436,-8.108,0.213,0.554,0.0,0.0891,0.368,172.854,4YF13O2n16dcTyGgVmiGvN,169705
64,0.689,0.568,-9.496,0.0547,0.51,4.33e-05,0.234,0.81,103.069,1pQrVutT9kzgLavLMUFubD,187250
